team_name,common_name,season,country,points_per_game_last_5,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90
BVB 09 Borussia Dortmund,Borussia Dortmund,2018/2019,Germany,2.4,16,8,8,0,12,7,5,3,1,2,1,0,1,2.44,2.75,2.13,1,2,2,1,42,17,25,59,37,22,27,15,10,7,17,8,34,27,48,85,72,102,5,2,3,11,6,5,1,0,1,9,5,4,78,41,37,28,14,14,57,58,56,125,72,53,64,35,29,61,37,24,64,35,29,15,10,5,9,5,4,6,5,1,8,5,3,3,1,2,5,2,3,1.69,2,1.38,3.69,4.63,2.75,2.63,3.38,1.88,1.06,1.25,0.88,1.5,1.88,1.13,0.94,1.25,0.63,0.56,0.63,0.5,15,14,12,8,5,3,8,8,7,6,4,2,7,6,5,2,1,1,1,2,4,8,11,13,0,0,1,2,4,6,1,2,3,6,7,7,94,88,75,50,31,19,100,100,88,75,50,25,88,75,63,25,13,13,6,12,25,50,69,81,0,0,12,25,50,75,12,25,37,75,87,87,14,6,3,8,4,2,6,2,1,88,38,19,100,50,25,75,25,13,75,88,63,6,31,25,38,69,75,63,6,0,13,56,63,50,8,3,5,50,38,63,7,2,5,44,25,63,3,3,0,19,38,0,50,63,38,19,13,25,31,25,38,4.88,5.13,4.63,1.75,1.75,1.75,69,69,56,44,44,38,31,31,106,3,1,6,4,3,1,6,6,12,2,0,3,2,2,2,3,1,2
1. FSV Mainz 05,Mainz 05,2018/2019,Germany,1.4,15,8,7,0,5,3,2,4,3,1,6,2,4,1.27,1.5,1,11,9,12,11,14,19,-5,33,15,18,8,6,7,12,1,-6,97,90,105,71,102,53,4,3,1,8,5,3,5,2,3,5,2,3,68,41,27,25,14,11,50,50,51,179,108,71,75,40,35,104,68,36,75,40,35,5,1,4,6,2,4,-1,-1,0,3,1,2,7,5,2,5,2,3,1.07,1,1.14,2.2,1.88,2.57,0.93,1,0.86,1.27,0.88,1.71,0.73,0.38,1.14,0.33,0.13,0.57,0.4,0.25,0.57,13,9,7,3,1,0,6,5,4,0,0,0,7,4,3,3,1,0,2,6,8,12,14,15,2,3,4,8,8,8,0,3,4,4,6,7,87,60,47,20,7,0,75,63,50,0,0,0,100,57,43,43,14,0,13,40,53,80,93,100,25,37,50,100,100,100,0,43,57,57,86,100,8,2,1,3,0,0,5,2,1,53,13,7,38,0,0,71,29,14,33,38,29,20,27,38,14,53,63,43,33,25,43,33,25,43,10,6,4,67,75,57,11,7,4,73,88,57,1,0,1,7,0,14,20,13,29,47,63,29,33,25,43,4.53,5.13,3.86,1.67,1.75,1.57,93,87,80,47,33,13,13,13,73,1,1,2,1,1,1,2,2,3,0,4,1,1,1,2,4,4,2
FC Schalke 04,Schalke 04,2018/2019,Germany,1,16,8,8,0,4,3,1,3,0,3,9,5,4,0.94,1.13,0.75,14,16,13,14,17,23,-6,40,24,16,11,6,13,10,-2,-4,85,65,120,63,55,72,3,1,2,8,4,4,6,3,3,4,3,1,82,40,42,41,17,24,49,49,50,164,85,79,72,38,34,92,47,45,72,38,34,4,4,0,10,7,3,-6,-3,-3,2,2,0,6,1,5,8,5,3,0.75,0.88,0.63,2.5,3,2,1.06,1.38,0.75,1.44,1.63,1.25,0.88,1.38,0.38,0.25,0.5,0,0.63,0.88,0.38,15,13,7,2,1,1,8,7,4,2,1,1,7,6,3,0,0,0,1,3,9,14,15,15,0,1,4,6,7,7,1,2,5,8,8,8,94,81,44,13,6,6,100,88,50,25,13,13,88,75,38,0,0,0,6,19,56,87,94,94,0,12,50,75,87,87,12,25,62,100,100,100,10,2,2,7,2,2,3,0,0,63,13,13,88,25,25,38,0,0,25,38,13,9,19,13,25,50,50,50,38,38,38,25,38,13,7,2,5,44,25,63,13,5,8,81,63,100,2,2,0,13,25,0,13,25,0,38,13,63,50,63,38,5.13,5,5.25,2.56,2.13,3,81,81,69,44,38,31,25,19,44,0,1,1,1,2,3,2,2,5,3,2,1,3,1,2,4,5,2
SV Werder Bremen,Werder Bremen,2018/2019,Germany,0.8,15,8,7,0,6,3,3,3,2,1,6,3,3,1.4,1.38,1.43,9,12,7,9,25,25,0,50,29,21,14,11,15,10,-1,1,54,51,57,54,48,63,2,1,1,13,7,6,0,0,0,7,4,3,76,41,35,32,14,18,51,53,50,166,97,69,75,37,38,91,60,31,75,37,38,11,6,5,12,6,6,-1,0,-1,6,3,3,3,3,0,6,2,4,1.4,1.5,1.29,3.33,3.63,3,1.67,1.75,1.57,1.67,1.88,1.43,1.53,1.5,1.57,0.73,0.75,0.71,0.8,0.75,0.86,15,15,10,5,2,1,8,8,5,4,1,1,7,7,5,1,1,0,0,0,5,10,13,14,0,0,3,4,7,7,0,0,2,6,6,7,100,100,67,33,13,7,100,100,63,50,13,13,100,100,71,14,14,0,0,0,33,67,87,93,0,0,37,50,87,87,0,0,29,86,86,100,14,6,3,7,4,1,7,2,2,93,40,20,88,50,13,100,29,29,40,38,43,-4,13,13,14,87,88,86,0,0,0,47,50,43,6,4,2,40,50,29,6,3,3,40,38,43,4,2,2,27,25,29,40,38,43,20,38,0,40,25,57,5.07,5.13,5,2.13,1.75,2.57,87,80,73,67,60,40,27,20,127,0,3,1,5,2,2,4,4,4,1,3,2,2,7,4,1,4,1
FC Bayern München,Bayern München,2018/2019,Germany,2,15,7,8,0,9,3,6,3,3,0,3,1,2,2,1.71,2.25,3,7,1,3,32,18,14,50,24,26,14,18,10,8,4,10,42,45,40,75,63,90,4,1,3,9,5,4,2,1,1,12,5,7,139,59,80,16,8,8,65,71,60,197,94,103,77,36,41,120,58,62,77,36,41,15,7,8,7,4,3,8,3,5,10,4,6,3,2,1,2,1,1,2.2,2,2.38,3.33,3.43,3.25,2.13,2,2.25,1.2,1.43,1,1.47,1.57,1.38,1,1,1,0.47,0.57,0.38,15,15,11,6,2,1,7,7,5,3,1,1,8,8,6,3,1,0,0,0,4,9,13,14,0,0,2,4,6,6,0,0,2,5,7,8,100,100,73,40,13,7,100,100,71,43,14,14,100,100,75,38,13,0,0,0,27,60,87,93,0,0,29,57,86,86,0,0,25,62,87,100,13,7,2,5,4,2,8,3,0,87,47,13,71,57,29,100,38,0,60,43,75,-13,27,14,38,60,71,50,13,14,13,80,71,88,10,4,6,67,57,75,4,3,1,27,43,13,3,2,1,20,29,13,67,57,75,20,29,13,13,14,13,9.27,8.43,10,1.07,1.14,1,87,87,80,67,60,47,27,20,93,4,4,5,2,3,4,4,3,3,2,1,1,1,4,1,2,2,4
Borussia VfL Mönchengladbach,Borussia M'gladbach,2018/2019,Germany,2,16,8,8,0,10,8,2,3,0,3,3,0,3,2.06,3,1.13,2,1,8,2,35,16,19,51,26,25,23,12,3,13,20,-1,41,31,60,90,237,55,7,5,2,8,3,5,2,0,2,11,7,4,94,56,38,22,10,12,52,55,50,161,104,57,69,46,23,92,58,34,69,46,23,10,4,6,8,1,7,2,3,-1,5,3,2,8,5,3,3,0,3,1.44,1.75,1.13,3.19,3.25,3.13,2.19,2.88,1.5,1,0.38,1.63,1.13,0.63,1.63,0.63,0.5,0.75,0.5,0.13,0.88,15,15,11,7,2,1,8,8,6,3,1,0,7,7,5,4,1,1,1,1,5,9,14,15,0,0,2,5,7,8,1,1,3,4,7,7,94,94,69,44,13,6,100,100,75,38,13,0,88,88,63,50,13,13,6,6,31,56,87,94,0,0,25,62,87,100,12,12,37,50,87,87,10,6,2,3,1,1,7,5,1,63,38,13,38,13,13,88,63,13,63,100,25,47,44,63,25,50,38,63,13,0,25,69,88,50,10,7,3,63,88,38,8,5,3,50,63,38,4,1,3,25,13,38,31,38,25,50,63,38,19,0,38,5.88,7,4.75,1.38,1.25,1.5,94,94,88,75,63,56,50,31,100,4,2,2,1,5,7,6,3,5,3,2,0,2,1,3,1,2,2
Bayer 04 Leverkusen,Bayer Leverkusen,2018/2019,Germany,2,16,7,9,0,6,3,3,3,1,2,7,3,4,1.31,1.43,1.22,10,13,6,10,23,28,-5,51,23,28,10,13,13,15,-3,-2,63,63,63,51,48,54,4,3,1,10,4,6,3,0,3,10,5,5,81,43,38,29,11,18,51,55,47,163,85,78,78,43,35,85,42,43,78,43,35,12,5,7,9,4,5,3,1,2,4,1,3,8,5,3,4,1,3,1.25,1.14,1.33,3.19,3.29,3.11,1.44,1.43,1.44,1.75,1.86,1.67,1.31,1.29,1.33,0.75,0.71,0.78,0.56,0.57,0.56,15,13,10,6,3,2,7,5,4,4,2,1,8,8,6,2,1,1,1,3,6,10,13,14,0,2,3,3,5,6,1,1,3,7,8,8,94,81,63,38,19,13,100,71,57,57,29,14,89,89,67,22,11,11,6,19,37,62,81,87,0,29,43,43,71,86,11,11,33,78,89,89,10,7,4,4,4,1,6,3,3,63,44,25,57,57,14,67,33,33,38,43,33,-4,25,43,11,63,57,67,19,0,33,63,71,56,9,4,5,56,57,56,8,3,5,50,43,56,5,3,2,31,43,22,25,14,33,50,71,33,25,14,33,5.06,6.14,4.22,1.81,1.57,2,94,81,69,63,56,50,38,31,106,3,0,4,4,2,1,3,4,2,1,2,3,2,2,8,4,1,5
SC Freiburg,Freiburg,2018/2019,Germany,0.8,15,8,7,0,4,3,1,5,3,2,6,2,4,1.13,1.5,0.71,12,8,14,12,19,24,-5,43,22,21,12,7,10,14,2,-7,71,60,90,56,72,45,3,3,0,9,4,5,4,2,2,7,5,2,54,31,23,22,14,8,43,46,40,125,80,45,62,37,25,63,43,20,62,37,25,9,5,4,9,5,4,0,0,0,4,2,2,7,4,3,4,2,2,1.27,1.25,1.29,2.87,2.75,3,1.27,1.5,1,1.6,1.25,2,1.2,1.25,1.14,0.6,0.63,0.57,0.6,0.63,0.57,14,13,7,6,2,1,7,6,4,3,1,1,7,7,3,3,1,0,1,2,8,9,13,14,1,2,4,5,7,7,0,0,4,4,6,7,93,87,47,40,13,7,88,75,50,38,13,13,100,100,43,43,14,0,7,13,53,60,87,93,12,25,50,62,87,87,0,0,57,57,86,100,11,7,0,6,4,0,5,3,0,73,47,0,75,50,0,71,43,0,27,38,14,20,20,38,0,60,50,71,27,25,29,47,63,29,8,4,4,53,50,57,8,4,4,53,50,57,3,2,1,20,25,14,27,25,29,47,50,43,27,25,29,3.6,3.88,3.29,1.47,1.75,1.14,80,67,53,53,40,33,33,20,47,3,1,1,2,4,4,0,1,3,3,3,0,2,3,2,3,3,5
VfL Wolfsburg,Wolfsburg,2018/2019,Germany,2.6,16,9,7,0,7,3,4,4,3,1,5,3,2,1.56,1.33,1.86,6,10,3,6,24,20,4,44,27,17,13,11,14,6,-1,5,60,63,57,72,58,105,5,2,3,9,6,3,3,1,2,6,3,3,86,47,39,38,16,22,53,53,53,155,84,71,76,39,37,79,45,34,76,39,37,9,6,3,9,6,3,0,0,0,5,3,2,6,3,3,5,3,2,1.31,1.33,1.29,2.75,3,2.43,1.5,1.44,1.57,1.25,1.56,0.86,1.13,1.33,0.86,0.56,0.67,0.43,0.56,0.67,0.43,15,13,10,6,0,0,9,7,6,5,0,0,6,6,4,1,0,0,1,3,6,10,16,16,0,2,3,4,9,9,1,1,3,6,7,7,94,81,63,38,0,0,100,78,67,56,0,0,86,86,57,14,0,0,6,19,37,62,100,100,0,22,33,44,100,100,14,14,43,86,100,100,12,5,1,7,4,1,5,1,0,75,31,6,78,44,11,71,14,0,44,33,57,-15,31,22,43,56,67,43,19,11,29,38,33,43,8,4,4,50,44,57,9,5,4,56,56,57,3,2,1,19,22,14,31,33,29,38,33,43,31,33,29,5.38,5.22,5.57,2.38,1.78,3.14,100,100,88,63,56,44,25,19,56,0,1,2,4,3,4,3,2,5,3,0,4,2,3,0,2,2,4
Eintracht Frankfurt,Eintracht Frankfurt,2018/2019,Germany,1.8,15,7,8,0,8,4,4,2,1,1,5,2,3,1.73,1.86,1.63,5,5,4,5,32,18,14,50,27,23,19,13,8,10,11,3,42,33,55,75,79,72,3,1,2,11,6,5,1,0,1,9,5,4,83,49,34,29,14,15,49,53,46,145,76,69,57,30,27,88,46,42,57,30,27,12,7,5,4,2,2,8,5,3,8,4,4,3,1,2,4,2,2,1.8,1.86,1.75,3.33,3.86,2.88,2.13,2.71,1.63,1.2,1.14,1.25,1.07,1.29,0.88,0.8,1,0.63,0.27,0.29,0.25,15,14,11,5,2,1,7,7,6,2,2,1,8,7,5,3,0,0,0,1,4,10,13,14,0,0,1,5,5,6,0,1,3,5,8,8,100,93,73,33,13,7,100,100,86,29,29,14,100,88,63,38,0,0,0,7,27,67,87,93,0,0,14,71,71,86,0,12,37,62,100,100,12,3,1,6,2,1,6,1,0,80,20,7,86,29,14,75,13,0,53,57,50,16,20,14,25,73,86,63,7,0,13,60,71,50,11,5,6,73,71,75,7,3,4,47,43,50,0,0,0,0,0,0,53,57,50,20,14,25,27,29,25,5.53,7,4.25,1.93,2,1.88,73,67,60,60,53,47,40,33,113,2,2,3,4,4,4,4,4,5,0,1,0,3,0,3,3,2,6
