team_name,common_name,season,country,points_per_game_last_5,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90
Stoke City FC,Stoke City,2018/2019,England,1.8,22,11,11,0,7,5,2,10,3,7,5,3,2,1.41,1.64,1.18,11,15,11,11,29,27,2,56,25,31,14,15,11,16,3,-1,68,71,66,73,90,62,8,5,3,12,4,8,4,3,1,10,6,4,125,64,61,36,22,14,50,53,48,255,122,133,93,37,56,162,85,77,93,37,56,11,6,5,12,5,7,-1,1,-2,8,5,3,8,4,4,6,2,4,1.45,1.73,1.18,2.55,2.27,2.82,1.32,1.27,1.36,1.23,1,1.45,1.05,1,1.09,0.5,0.55,0.45,0.55,0.45,0.64,20,16,11,8,1,0,10,8,4,2,1,0,10,8,7,6,0,0,2,6,11,14,21,22,1,3,7,9,10,11,1,3,4,5,11,11,91,73,50,36,5,0,91,73,36,18,9,0,91,73,64,55,0,0,9,27,50,64,95,100,9,27,64,82,91,100,9,27,36,45,100,100,15,6,2,8,3,0,7,3,2,68,27,9,73,27,0,64,27,18,32,45,18,8,36,45,27,55,36,73,18,27,9,45,55,36,14,8,6,64,73,55,12,5,7,55,45,64,3,1,2,14,9,18,36,45,27,36,36,36,27,18,36,5.68,5.82,5.55,1.64,2,1.27,77,73,59,55,45,36,32,23,55,3,0,4,2,4,5,4,4,3,1,2,3,2,8,3,2,2,4
West Bromwich Albion FC,West Bromwich Albion,2018/2019,England,2.2,22,11,11,0,11,6,5,6,3,3,5,2,3,1.77,1.91,1.64,3,3,4,3,46,31,15,77,45,32,29,17,16,15,13,2,43,34,58,64,62,66,1,1,0,18,10,8,3,0,3,9,7,2,99,57,42,36,16,20,52,53,50,311,165,146,109,61,48,202,104,98,109,61,48,14,8,6,13,6,7,1,2,-1,5,3,2,13,6,7,4,2,2,1.27,1.36,1.18,3.5,4.09,2.91,2.09,2.64,1.55,1.41,1.45,1.36,1.23,1.27,1.18,0.64,0.73,0.55,0.59,0.55,0.64,22,19,14,9,7,3,11,11,8,6,5,2,11,8,6,3,2,1,0,3,8,13,15,19,0,0,3,5,6,9,0,3,5,8,9,10,100,86,64,41,32,14,100,100,73,55,45,18,100,73,55,27,18,9,0,14,36,59,68,86,0,0,27,45,55,82,0,27,45,73,82,91,15,10,2,8,5,1,7,5,1,68,45,9,73,45,9,64,45,9,50,55,45,12,5,9,0,82,91,73,14,0,27,41,64,18,11,6,5,50,55,45,11,5,6,50,45,55,7,3,4,32,27,36,23,27,18,59,55,64,18,18,18,4.5,5.18,3.82,1.64,1.45,1.82,82,68,59,41,27,27,23,14,86,0,3,5,3,6,4,6,8,11,3,4,3,2,1,4,2,4,8
Middlesbrough FC,Middlesbrough,2018/2019,England,1,22,11,11,0,9,5,4,9,4,5,4,2,2,1.64,1.73,1.55,6,9,5,6,24,16,8,40,18,22,11,13,7,9,4,4,83,90,76,123,141,110,11,7,4,8,2,6,7,4,3,10,5,5,131,83,48,41,17,24,47,48,47,300,166,134,102,51,51,198,115,83,102,51,51,11,7,4,7,3,4,4,4,0,6,4,2,10,4,6,6,3,3,1.27,1.45,1.09,1.82,1.64,2,1.09,1,1.18,0.73,0.64,0.82,0.82,0.91,0.73,0.5,0.64,0.36,0.32,0.27,0.36,18,15,6,1,0,0,9,7,2,0,0,0,9,8,4,1,0,0,4,7,16,21,22,22,2,4,9,11,11,11,2,3,7,10,11,11,82,68,27,5,0,0,82,64,18,0,0,0,82,73,36,9,0,0,18,32,73,95,100,100,18,36,82,100,100,100,18,27,64,91,100,100,12,5,1,7,2,1,5,3,0,55,23,5,64,18,9,45,27,0,41,45,36,2,50,64,36,36,18,55,32,36,27,45,45,45,16,8,8,73,73,73,16,7,9,73,64,82,0,0,0,0,0,0,27,36,18,45,36,55,27,27,27,5.95,7.55,4.36,1.86,1.55,2.18,86,86,77,68,68,55,32,14,59,1,5,1,3,3,4,2,0,5,1,3,1,1,2,2,2,2,2
Hull City AFC,Hull City,2018/2019,England,1.6,22,11,11,0,6,3,3,6,3,3,10,5,5,1.09,1.09,1.09,17,21,14,17,23,30,-7,53,20,33,9,14,11,19,-2,-5,86,110,71,66,90,52,5,4,1,10,4,6,8,4,4,9,5,4,99,53,46,29,12,17,45,44,46,246,137,109,87,46,41,159,91,68,87,46,41,13,5,8,12,3,9,1,2,-1,7,3,4,9,6,3,6,2,4,1.36,1.36,1.36,2.41,1.82,3,1.05,0.82,1.27,1.36,1,1.73,1.14,0.73,1.55,0.59,0.45,0.73,0.55,0.27,0.82,21,15,8,5,3,1,10,7,2,1,0,0,11,8,6,4,3,1,1,7,14,17,19,21,1,4,9,10,11,11,0,3,5,7,8,10,95,68,36,23,14,5,91,64,18,9,0,0,100,73,55,36,27,9,5,32,64,77,86,95,9,36,82,91,100,100,0,27,45,64,73,91,15,7,3,6,2,0,9,5,3,68,32,14,55,18,0,82,45,27,27,27,27,2,23,36,9,45,36,55,36,36,36,41,45,36,12,8,4,55,73,36,12,7,5,55,64,45,5,1,4,23,9,36,32,27,36,41,55,27,27,18,36,4.5,4.82,4.18,1.32,1.09,1.55,77,73,64,64,55,27,18,9,59,5,1,3,2,4,2,2,2,2,2,2,5,1,2,5,5,2,6
Swansea City AFC,Swansea City,2018/2019,Wales,1.2,22,11,11,0,9,5,4,5,2,3,8,4,4,1.45,1.55,1.36,9,17,9,9,27,24,3,51,31,20,17,10,14,10,3,0,73,58,99,83,71,99,8,4,4,11,6,5,7,2,5,9,6,3,109,65,44,16,5,11,53,54,51,276,151,125,104,56,48,172,95,77,104,56,48,12,7,5,14,10,4,-2,-3,1,6,3,3,9,3,6,7,5,2,1.23,1.09,1.36,2.32,2.82,1.82,1.23,1.55,0.91,1.09,1.27,0.91,1.18,1.55,0.82,0.55,0.64,0.45,0.64,0.91,0.36,18,13,12,5,3,0,10,8,7,4,2,0,8,5,5,1,1,0,4,9,10,17,19,22,1,3,4,7,9,11,3,6,6,10,10,11,82,59,55,23,14,0,91,73,64,36,18,0,73,45,45,9,9,0,18,41,45,77,86,100,9,27,36,64,82,100,27,55,55,91,91,100,14,6,4,9,4,3,5,2,1,64,27,18,82,36,27,45,18,9,41,45,36,5,36,36,36,50,55,45,32,18,45,41,55,27,13,5,8,59,45,73,12,4,8,55,36,73,5,4,1,23,36,9,27,27,27,41,27,55,32,45,18,4.95,5.91,4,0.73,0.45,1,86,82,73,55,45,36,32,18,82,3,2,4,2,1,1,2,6,6,2,2,4,4,2,2,4,2,2
Aston Villa FC,Aston Villa,2018/2019,England,1.8,22,11,11,0,8,5,3,9,5,4,5,1,4,1.5,1.82,1.18,8,6,10,8,43,34,9,77,45,32,26,17,19,15,7,2,46,38,58,58,52,66,5,3,2,16,8,8,1,0,1,12,6,6,113,58,55,31,19,12,55,56,54,323,168,155,133,73,60,190,95,95,133,73,60,19,12,7,15,6,9,4,6,-2,7,5,2,13,6,7,2,0,2,1.55,1.91,1.18,3.5,4.09,2.91,1.95,2.36,1.55,1.55,1.73,1.36,1.55,1.64,1.45,0.86,1.09,0.64,0.68,0.55,0.82,22,20,14,9,5,3,11,10,7,6,4,3,11,10,7,3,1,0,0,2,8,13,17,19,0,1,4,5,7,8,0,1,4,8,10,11,100,91,64,41,23,14,100,91,64,55,36,27,100,91,64,27,9,0,0,9,36,59,77,86,0,9,36,45,64,73,0,9,36,73,91,100,17,11,3,8,5,2,9,6,1,77,50,14,73,45,18,82,55,9,36,45,27,5,23,27,18,73,73,73,5,0,9,55,55,55,11,7,4,50,64,36,7,3,4,32,27,36,9,4,5,41,36,45,32,45,18,59,55,64,9,0,18,5.14,5.27,5,1.41,1.73,1.09,91,77,73,59,45,27,27,18,77,3,7,3,5,1,5,4,7,8,4,1,6,2,6,5,1,4,5
Norwich City FC,Norwich City,2018/2019,England,2.2,22,11,11,0,13,8,5,5,0,5,4,3,1,2,2.18,1.82,2,2,2,2,40,26,14,66,35,31,20,20,15,11,5,9,49,49,49,76,66,90,7,4,3,13,5,8,3,2,1,12,6,6,128,69,59,33,13,20,53,54,53,316,175,141,132,66,66,184,109,75,132,66,66,9,3,6,11,7,4,-2,-4,2,4,2,2,12,4,8,6,5,1,1.09,0.91,1.27,3,3.18,2.82,1.82,1.82,1.82,1.18,1.36,1,0.91,0.91,0.91,0.41,0.27,0.55,0.5,0.64,0.36,21,16,13,8,4,2,11,7,6,4,3,2,10,9,7,4,1,0,1,6,9,14,18,20,0,4,5,7,8,9,1,2,4,7,10,11,95,73,59,36,18,9,100,64,55,36,27,18,91,82,64,36,9,0,5,27,41,64,82,91,0,36,45,64,73,82,9,18,36,64,91,100,13,5,1,8,2,0,5,3,1,59,23,5,73,18,0,45,27,9,59,73,45,-8,32,36,27,59,45,73,14,18,9,55,55,55,12,5,7,55,45,64,15,8,7,68,73,64,4,1,3,18,9,27,18,18,18,55,36,73,27,45,9,5.82,6.27,5.36,1.5,1.18,1.82,77,77,68,55,50,45,36,18,73,0,2,3,4,1,8,3,9,10,2,2,3,2,3,3,3,2,6
Queens Park Rangers FC,Queens Park Rangers,2018/2019,England,1,22,11,11,0,9,6,3,4,1,3,9,4,5,1.41,1.73,1.09,13,10,15,13,27,32,-5,59,29,30,16,11,13,19,3,-8,73,62,90,62,76,52,7,4,3,10,5,5,6,2,4,11,6,5,92,46,46,37,17,20,45,46,44,242,157,85,107,66,41,135,91,44,107,66,41,15,8,7,12,6,6,3,2,1,7,5,2,9,2,7,6,4,2,1.36,1.55,1.18,2.68,2.64,2.73,1.23,1.45,1,1.45,1.18,1.73,1.23,1.27,1.18,0.68,0.73,0.64,0.55,0.55,0.55,21,15,12,5,3,1,11,8,6,2,2,0,10,7,6,3,1,1,1,7,10,17,19,21,0,3,5,9,9,11,1,4,5,8,10,10,95,68,55,23,14,5,100,73,55,18,18,0,91,64,55,27,9,9,5,32,45,77,86,95,0,27,45,82,82,100,9,36,45,73,91,91,17,8,2,10,3,1,7,5,1,77,36,9,91,27,9,64,45,9,41,55,27,19,32,36,27,45,45,45,27,18,36,50,55,45,12,6,6,55,55,55,9,4,5,41,36,45,6,2,4,27,18,36,32,45,18,41,18,64,27,36,18,4.18,4.18,4.18,1.68,1.55,1.82,86,73,59,50,32,27,23,9,73,2,2,5,5,3,5,1,1,3,2,2,5,0,5,4,5,2,7
Birmingham City FC,Birmingham City,2018/2019,England,1.4,22,11,11,0,7,4,3,10,6,4,5,1,4,1.41,1.64,1.18,10,11,12,10,32,27,5,59,31,28,19,13,12,15,7,-2,62,52,76,73,83,66,6,3,3,13,7,6,6,3,3,13,6,7,135,73,62,38,11,27,45,49,41,285,153,132,122,65,57,163,88,75,122,65,57,13,6,7,9,4,5,4,2,2,6,2,4,12,8,4,4,1,3,1.36,1.27,1.45,2.68,2.82,2.55,1.45,1.73,1.18,1.23,1.09,1.36,1,0.91,1.09,0.59,0.55,0.64,0.41,0.36,0.45,19,15,12,9,2,2,9,8,7,5,1,1,10,7,5,4,1,1,3,7,10,13,20,20,2,3,4,6,10,10,1,4,6,7,10,10,86,68,55,41,9,9,82,73,64,45,9,9,91,64,45,36,9,9,14,32,45,59,91,91,18,27,36,55,91,91,9,36,55,64,91,91,13,8,1,5,5,0,8,3,1,59,36,5,45,45,0,73,27,9,32,36,27,15,27,27,27,59,64,55,27,27,27,59,55,64,15,8,7,68,73,64,12,7,5,55,64,45,4,2,2,18,18,18,27,18,36,55,73,36,18,9,27,6.14,6.64,5.64,1.73,1,2.45,86,82,73,64,55,41,32,23,77,2,2,7,0,5,2,4,6,4,0,3,1,3,4,4,1,6,5
Bristol City FC,Bristol City,2018/2019,England,1.6,22,11,11,0,8,3,5,6,4,2,8,4,4,1.36,1.18,1.55,14,20,7,14,27,26,1,53,24,29,12,15,12,14,0,1,73,83,66,76,83,71,7,2,5,10,6,4,6,3,3,9,5,4,116,57,59,33,10,23,52,53,50,291,154,137,119,65,54,172,89,83,119,65,54,8,4,4,13,7,6,-5,-3,-2,3,1,2,14,7,7,5,3,2,1.05,0.91,1.18,2.41,2.18,2.64,1.23,1.09,1.36,1.18,1.09,1.27,0.95,1,0.91,0.36,0.36,0.36,0.59,0.64,0.55,21,13,8,6,4,1,11,7,3,2,1,0,10,6,5,4,3,1,1,9,14,16,18,21,0,4,8,9,10,11,1,5,6,7,8,10,95,59,36,27,18,5,100,64,27,18,9,0,91,55,45,36,27,9,5,41,64,73,82,95,0,36,73,82,91,100,9,45,55,64,73,91,12,6,2,7,4,0,5,2,2,55,27,9,64,36,0,45,18,18,36,27,45,-2,32,18,45,45,55,36,27,27,27,41,45,36,13,5,8,59,45,73,15,7,8,68,64,73,4,3,1,18,27,9,14,9,18,64,64,64,23,27,18,5.27,5.18,5.36,1.5,0.91,2.09,82,73,59,45,36,32,32,27,77,2,1,1,1,4,6,4,2,6,1,3,2,5,3,4,5,2,1
