team_name,common_name,season,country,points_per_game_last_5,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90
Sunderland AFC,Sunderland,2018/2019,England,1.8,21,10,11,0,12,6,6,8,4,4,1,0,1,2.1,2.2,2,2,3,3,2,42,20,22,62,33,29,23,19,10,10,13,9,45,39,52,95,90,99,5,2,3,16,8,8,0,0,0,12,5,7,112,50,62,50,24,26,53,54,53,192,96,96,83,36,47,109,60,49,83,36,47,18,13,5,9,5,4,9,8,1,8,5,3,9,3,6,4,2,2,1.57,1.8,1.36,2.95,3.3,2.64,2,2.3,1.73,0.95,1,0.91,1.29,1.8,0.82,0.86,1.3,0.45,0.43,0.5,0.36,21,20,12,5,3,1,10,10,7,3,2,1,11,10,5,2,1,0,0,1,9,16,18,20,0,0,3,7,8,9,0,1,6,9,10,11,100,95,57,24,14,5,100,100,70,30,20,10,100,91,45,18,9,0,0,5,43,76,86,95,0,0,30,70,80,90,0,9,55,82,91,100,14,7,4,9,5,3,5,2,1,67,33,19,90,50,30,45,18,9,57,60,55,5,24,20,27,76,80,73,0,0,0,57,50,64,13,5,8,62,50,73,11,3,8,52,30,73,4,3,1,19,30,9,38,50,27,43,30,55,19,20,18,5.33,5,5.64,2.38,2.4,2.36,86,76,76,71,52,43,33,24,95,1,5,4,3,8,7,5,3,6,4,3,0,1,2,2,5,2,1
Burton Albion FC,Burton Albion,2018/2019,England,1.2,21,11,10,1,8,6,2,3,1,2,10,4,6,1.29,1.73,0.8,15,11,19,15,26,29,-3,55,24,31,14,12,10,19,4,-7,73,71,75,65,99,47,5,5,0,13,6,7,4,1,3,11,8,3,128,78,50,22,14,8,53,54,52,237,136,101,112,68,44,125,68,57,112,68,44,13,6,7,12,4,8,1,2,-1,6,4,2,10,5,5,5,2,3,1.33,1.55,1.1,2.62,2.18,3.1,1.24,1.27,1.2,1.38,0.91,1.9,1.19,0.91,1.5,0.62,0.55,0.7,0.57,0.36,0.8,20,15,14,5,1,0,10,7,7,0,0,0,10,8,7,5,1,0,1,6,7,16,20,21,1,4,4,11,11,11,0,2,3,5,9,10,95,71,67,24,5,0,91,64,64,0,0,0,100,80,70,50,10,0,5,29,33,76,95,100,9,36,36,100,100,100,0,20,30,50,90,100,15,8,1,7,3,0,8,5,1,71,38,5,64,27,0,80,50,10,38,55,20,18,24,45,0,62,55,70,19,9,30,52,73,30,12,8,4,57,73,40,11,6,5,52,55,50,4,1,3,19,9,30,29,36,20,48,45,50,24,18,30,6.1,7.09,5,1.05,1.27,0.8,95,81,67,56,52,43,33,19,76,1,4,4,4,4,4,1,1,3,2,1,3,6,3,6,2,3,3
Barnsley FC,Barnsley,2018/2019,England,1,21,10,11,1,10,5,5,6,5,1,5,0,5,1.71,2,1.45,7,8,6,7,35,21,14,56,22,34,15,20,7,14,8,6,54,60,49,90,129,71,8,4,4,10,6,4,4,1,3,11,7,4,151,70,81,40,12,28,55,57,54,296,146,150,120,57,63,176,89,87,120,57,63,17,8,9,11,3,8,6,5,1,9,4,5,7,5,2,5,1,4,1.62,1.7,1.55,2.67,2.2,3.09,1.67,1.5,1.82,1,0.7,1.27,1.33,1.1,1.55,0.81,0.8,0.82,0.52,0.3,0.73,20,16,9,8,2,1,9,7,3,2,1,0,11,9,6,6,1,1,1,5,12,13,19,20,1,3,7,8,9,10,0,2,5,5,10,10,95,76,43,38,10,5,90,70,30,20,10,0,100,82,55,55,9,9,5,24,57,62,90,95,10,30,70,80,90,100,0,18,45,45,91,91,15,9,3,6,4,1,9,5,2,71,43,14,60,40,10,82,45,18,48,50,45,10,38,40,36,48,60,36,19,10,27,52,70,36,13,7,6,62,70,55,10,5,5,48,50,45,4,2,2,19,20,18,43,40,45,33,50,18,24,10,36,7.19,7,7.36,1.9,1.2,2.55,100,95,86,76,56,38,24,14,57,3,4,2,4,6,3,6,2,5,3,3,1,2,2,4,2,1,3
Charlton Athletic FC,Charlton Athletic,2018/2019,England,2.4,22,11,11,0,12,7,5,4,2,2,6,2,4,1.82,2.09,1.55,5,2,5,5,36,25,11,61,27,34,18,18,9,16,9,2,55,55,55,79,110,62,6,4,2,14,6,8,3,2,1,14,7,7,130,69,61,53,24,29,51,51,51,206,112,94,110,66,44,96,46,50,110,66,44,19,9,10,9,3,6,10,6,4,11,5,6,8,6,2,3,0,3,1.86,1.91,1.82,2.77,2.45,3.09,1.64,1.64,1.64,1.14,0.82,1.45,1.27,1.09,1.45,0.86,0.82,0.91,0.41,0.27,0.55,21,19,12,4,2,1,10,9,5,2,1,0,11,10,7,2,1,1,1,3,10,18,20,21,1,2,6,9,10,11,0,1,4,9,10,10,95,86,55,18,9,5,91,82,45,18,9,0,100,91,64,18,9,9,5,14,45,82,91,95,9,18,55,82,91,100,0,9,36,82,91,91,17,7,2,7,4,1,10,3,1,77,32,9,64,36,9,91,27,9,55,64,45,14,27,36,18,64,55,73,14,18,9,64,64,64,15,8,7,68,73,64,7,4,3,32,36,27,5,3,2,23,27,18,50,45,55,36,55,18,14,0,27,6.19,6.9,5.55,2.41,2.18,2.64,90,86,81,71,67,56,43,38,59,5,4,4,3,3,5,2,2,8,4,1,3,1,0,1,1,4,10
Blackpool FC,Blackpool,2018/2019,England,1.8,21,11,10,0,9,6,3,7,3,4,5,2,3,1.62,1.91,1.3,8,5,12,8,25,21,4,46,28,18,17,8,11,10,6,-2,76,58,113,90,90,90,10,5,5,8,5,3,7,2,5,10,7,3,101,53,48,30,7,23,49,49,49,213,122,91,89,51,38,124,71,53,89,51,38,8,5,3,8,2,6,0,3,-3,6,4,2,10,6,4,5,1,4,1.33,1.64,1,2.19,2.55,1.8,1.19,1.55,0.8,1,1,1,0.76,0.64,0.9,0.38,0.45,0.3,0.38,0.18,0.6,17,14,9,4,2,0,10,9,6,2,1,0,7,5,3,2,1,0,4,7,12,17,19,21,1,2,5,9,10,11,3,5,7,8,9,10,81,67,43,19,10,0,91,82,55,18,9,0,70,50,30,20,10,0,19,33,57,81,90,100,9,18,45,82,91,100,30,50,70,80,90,100,11,3,2,5,1,1,6,2,1,52,14,10,45,9,9,60,20,10,43,55,30,0,48,45,50,38,45,30,33,18,50,48,64,30,15,9,6,71,82,60,14,7,7,67,64,70,2,1,1,10,9,10,29,36,20,48,55,40,24,9,40,4.81,4.82,4.8,1.43,0.64,2.3,86,81,67,56,43,33,28,19,71,2,4,1,1,4,3,2,1,7,3,1,2,0,3,4,2,3,3
Doncaster Rovers FC,Doncaster Rovers,2018/2019,England,2.6,22,11,11,0,11,6,5,5,3,2,6,2,4,1.73,1.91,1.55,6,6,4,6,37,26,11,63,28,35,17,20,11,15,6,5,54,58,49,76,90,66,6,5,1,11,4,7,7,4,3,11,5,6,136,63,73,55,26,29,52,53,51,284,145,139,131,64,67,153,81,72,131,64,67,12,6,6,13,7,6,-1,-1,0,6,3,3,12,6,6,4,2,2,1.36,1.36,1.36,2.86,2.55,3.18,1.68,1.55,1.82,1.18,1,1.36,1.14,1.18,1.09,0.55,0.55,0.55,0.59,0.64,0.55,20,17,13,7,5,1,9,8,7,2,1,1,11,9,6,5,4,0,2,5,9,15,17,21,2,3,4,9,10,10,0,2,5,6,7,11,91,77,59,32,23,5,82,73,64,18,9,9,100,82,55,45,36,0,9,23,41,68,77,95,18,27,36,82,91,91,0,18,45,55,64,100,14,10,1,7,5,1,7,5,0,64,45,5,64,45,9,64,45,0,50,55,45,4,27,45,9,50,36,64,32,36,27,50,45,55,14,7,7,64,64,64,12,6,6,55,55,55,4,2,2,18,18,18,27,27,27,55,55,55,18,18,18,6.18,5.73,6.64,2.5,2.36,2.64,95,91,86,82,59,41,36,32,50,4,2,1,3,4,10,5,3,5,2,2,3,3,6,2,1,1,6
Southend United FC,Southend United,2018/2019,England,1.2,22,11,11,0,9,5,4,2,1,1,11,5,6,1.32,1.45,1.18,12,13,14,12,28,28,0,56,30,26,18,10,12,16,6,-6,71,55,99,71,83,62,8,6,2,9,5,4,6,1,5,9,5,4,107,62,45,34,18,16,50,53,48,238,139,99,112,71,41,126,68,58,112,71,41,8,4,4,13,3,10,-5,1,-6,5,3,2,9,5,4,8,3,5,1.09,1.27,0.91,2.55,2.73,2.36,1.27,1.64,0.91,1.27,1.09,1.45,0.95,0.64,1.27,0.36,0.36,0.36,0.59,0.27,0.91,21,18,11,3,3,0,10,9,7,2,2,0,11,9,4,1,1,0,1,4,11,19,19,22,1,2,4,9,9,11,0,2,7,10,10,11,95,82,50,14,14,0,91,82,64,18,18,0,100,82,36,9,9,0,5,18,50,86,86,100,9,18,36,82,82,100,0,18,64,91,91,100,15,6,0,6,1,0,9,5,0,68,27,0,55,9,0,82,45,0,41,45,36,22,36,55,18,41,45,36,27,9,45,41,45,36,12,8,4,55,73,36,15,8,7,68,73,64,2,0,2,9,0,18,23,27,18,41,45,36,36,27,45,4.86,5.64,4.09,1.55,1.64,1.45,91,77,64,50,36,32,27,23,64,1,2,2,3,0,8,3,7,2,2,4,3,2,2,5,2,1,7
Rochdale AFC,Rochdale,2018/2019,England,0.8,22,11,11,0,6,3,3,6,2,4,10,6,4,1.09,1,1.18,19,20,13,19,29,41,-12,70,29,41,11,18,18,23,-7,-5,68,90,55,48,55,43,7,5,2,13,5,8,4,3,1,9,5,4,129,75,54,39,13,26,54,55,53,220,120,100,98,52,46,122,68,54,98,52,46,11,5,6,20,8,12,-9,-3,-6,4,2,2,8,5,3,10,4,6,0.91,1,0.82,3.18,2.64,3.73,1.32,1,1.64,1.86,1.64,2.09,1.41,1.18,1.64,0.5,0.45,0.55,0.91,0.73,1.09,20,17,15,10,6,2,9,7,7,4,2,0,11,10,8,6,4,2,2,5,7,12,16,20,2,4,4,7,9,11,0,1,3,5,7,9,91,77,68,45,27,9,82,64,64,36,18,0,100,91,73,55,36,18,9,23,32,55,73,91,18,36,36,64,82,100,0,9,27,45,64,82,16,10,4,7,4,1,9,6,3,73,45,18,64,36,9,82,55,27,27,27,27,-6,32,45,18,59,45,73,18,27,9,41,45,36,10,6,4,45,55,36,13,7,6,59,64,55,5,2,3,23,18,27,18,18,18,36,45,27,45,36,55,5.86,6.82,4.91,1.77,1.18,2.36,86,82,73,73,55,41,27,18,109,5,2,2,1,3,3,4,3,6,3,4,4,5,6,3,6,8,2
Walsall FC,Walsall,2018/2019,England,1,22,11,11,0,8,4,4,6,3,3,8,4,4,1.36,1.36,1.36,11,16,9,11,23,33,-10,56,30,26,13,10,17,16,-4,-6,86,76,99,60,58,62,4,2,2,12,7,5,9,4,5,8,4,4,138,63,75,34,12,22,48,49,46,222,110,112,118,62,56,104,48,56,118,62,56,8,5,3,11,7,4,-3,-2,-1,5,2,3,9,5,4,8,4,4,1.09,1,1.18,2.55,2.73,2.36,1.05,1.18,0.91,1.5,1.55,1.45,0.86,1.09,0.64,0.36,0.45,0.27,0.5,0.64,0.36,19,17,12,6,2,0,9,8,7,4,2,0,10,9,5,2,0,0,3,5,10,16,20,22,2,3,4,7,9,11,1,2,6,9,11,11,86,77,55,27,9,0,82,73,64,36,18,0,91,82,45,18,0,0,14,23,45,73,91,100,18,27,36,64,82,100,9,18,55,82,100,100,15,4,0,8,4,0,7,0,0,68,18,0,73,36,0,64,0,0,36,36,36,5,18,18,18,55,64,45,41,36,45,36,36,36,12,5,7,55,45,64,15,7,8,68,64,73,2,2,0,9,18,0,23,18,27,41,45,36,36,36,36,6.27,5.73,6.82,1.55,1.09,2,100,95,86,77,68,55,45,36,59,0,3,1,2,3,3,3,3,5,2,3,3,3,3,5,3,3,8
Scunthorpe United FC,Scunthorpe United,2018/2019,England,0.6,22,11,11,0,5,2,3,6,4,2,11,5,6,0.95,0.91,1,20,22,17,20,29,47,-18,76,44,32,17,12,27,20,-10,-8,68,58,83,42,37,49,2,1,1,13,7,6,8,3,5,9,5,4,100,53,47,44,25,19,47,48,46,215,128,87,94,51,43,121,77,44,94,51,43,12,6,6,22,11,11,-10,-5,-5,5,3,2,8,4,4,9,4,5,1.05,1.18,0.91,3.45,4,2.91,1.32,1.55,1.09,2.14,2.45,1.82,1.55,1.55,1.55,0.55,0.55,0.55,1,1,1,21,19,14,9,8,3,11,10,7,6,5,3,10,9,7,3,3,0,1,3,8,13,14,19,0,1,4,5,6,8,1,2,4,8,8,11,95,86,64,41,36,14,100,91,64,55,45,27,91,82,64,27,27,0,5,14,36,59,64,86,0,9,36,45,55,73,9,18,36,73,73,100,15,11,5,7,5,2,8,6,3,68,50,23,64,45,18,73,55,27,23,18,27,2,9,9,9,59,64,55,36,27,45,41,45,36,10,6,4,45,55,36,15,8,7,68,73,64,4,1,3,18,9,27,23,27,18,36,36,36,41,36,45,4.55,4.82,4.27,2,2.27,1.73,95,82,82,77,68,41,18,9,109,6,3,1,2,2,6,3,3,3,5,5,7,2,5,12,4,1,6
