team_name,common_name,season,country,points_per_game_last_5,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90
RSC Anderlecht,Anderlecht,2018/2019,Belgium,0.8,19,10,9,0,9,5,4,4,4,0,6,1,5,1.63,1.9,1.33,4,4,5,4,33,24,9,57,27,30,18,15,9,15,9,0,52,50,54,71,100,54,3,3,0,14,6,8,3,2,1,9,6,3,102,70,32,46,20,26,56,58,55,202,124,78,82,51,31,120,73,47,82,51,31,13,5,8,8,1,7,5,4,1,7,4,3,9,5,4,3,1,2,1.58,1.7,1.44,3,2.7,3.33,1.74,1.8,1.67,1.26,0.9,1.67,1.11,0.6,1.67,0.68,0.5,0.89,0.42,0.1,0.78,18,16,11,4,4,3,9,8,3,2,2,2,9,8,8,2,2,1,1,3,8,15,15,16,1,2,7,8,8,8,0,1,1,7,7,8,95,84,58,21,21,16,90,80,30,20,20,20,100,89,89,22,22,11,5,16,42,79,79,84,10,20,70,80,80,80,0,11,11,78,78,89,13,7,1,5,1,0,8,6,1,68,37,5,50,10,0,89,67,11,47,50,44,16,16,30,0,74,60,89,16,20,11,47,60,33,13,9,4,68,90,44,8,6,2,42,60,22,4,0,4,21,0,44,37,40,33,47,50,44,16,10,22,5.37,7,3.56,2.42,2,2.89,79,74,68,47,47,32,26,21,74,3,3,1,4,5,5,2,5,5,3,0,1,1,4,5,2,1,7
Club Brugge KV,Club Brugge,2018/2019,Belgium,0.8,19,9,10,0,10,7,3,5,1,4,4,1,3,1.84,2.44,1.3,2,1,4,2,42,21,21,63,33,30,25,17,8,13,17,4,41,32,53,81,101,69,7,4,3,12,5,7,1,0,1,13,7,6,97,60,37,33,11,22,52,55,48,195,98,97,94,43,51,101,55,46,94,43,51,22,15,7,8,4,4,14,11,3,9,6,3,6,1,5,4,2,2,1.74,2.11,1.4,3.32,3.67,3,2.21,2.78,1.7,1.11,0.89,1.3,1.58,2.11,1.1,1.16,1.67,0.7,0.42,0.44,0.4,18,17,14,8,2,2,9,9,8,4,1,1,9,8,6,4,1,1,1,2,5,11,17,17,0,0,1,5,8,8,1,2,4,6,9,9,95,89,74,42,11,11,100,100,89,44,11,11,90,80,60,40,10,10,5,11,26,58,89,89,0,0,11,56,89,89,10,20,40,60,90,90,14,10,6,8,7,4,6,3,2,74,53,32,89,78,44,60,30,20,53,78,30,23,37,44,30,63,56,70,5,0,10,68,78,60,12,6,6,63,67,60,9,3,6,47,33,60,3,1,2,16,11,20,47,67,30,32,11,50,21,22,20,5.11,6.67,3.7,1.74,1.22,2.2,95,79,63,53,37,21,16,11,105,7,3,4,5,6,6,4,2,5,2,3,0,2,1,2,2,4,5
KAA Gent,Gent,2018/2019,Belgium,1,19,10,9,0,8,5,3,4,2,2,7,3,4,1.47,1.7,1.22,8,8,8,8,33,32,1,65,32,33,16,17,16,16,0,1,52,56,48,54,56,51,4,2,2,12,7,5,4,2,2,6,3,3,133,85,48,43,19,24,59,60,58,221,131,90,92,50,42,129,81,48,92,50,42,12,4,8,14,7,7,-2,-3,1,6,2,4,6,4,2,7,4,3,1.26,1,1.56,3.42,3.2,3.67,1.74,1.6,1.89,1.68,1.6,1.78,1.37,1.1,1.67,0.63,0.4,0.89,0.74,0.7,0.78,18,18,14,10,4,1,9,9,7,4,2,1,9,9,7,6,2,0,1,1,5,9,15,18,1,1,3,6,8,9,0,0,2,3,7,9,95,95,74,53,21,5,90,90,70,40,20,10,100,100,78,67,22,0,5,5,26,47,79,95,10,10,30,60,80,90,0,0,22,33,78,100,15,7,3,7,2,1,8,5,2,79,37,16,70,20,10,89,56,22,42,50,33,-2,21,20,22,63,70,56,21,20,22,32,30,33,8,5,3,42,50,33,10,6,4,53,60,44,5,2,3,26,20,33,32,20,44,32,40,22,37,40,33,7,8.5,5.33,2.26,1.9,2.67,89,84,84,68,63,57,42,21,100,2,3,2,3,3,3,2,3,12,3,3,3,1,5,3,3,6,5
Waasland-Beveren,Waasland-Beveren,2018/2019,Belgium,1.2,19,9,10,0,3,1,2,8,5,3,8,3,5,0.89,0.89,0.9,13,16,10,13,21,26,-5,47,18,29,8,13,10,16,-2,-3,81,101,69,66,81,56,4,2,2,11,6,5,6,3,3,3,1,2,74,32,42,61,33,28,44,48,40,182,99,83,84,45,39,98,54,44,84,45,39,3,1,2,11,4,7,-8,-3,-5,1,0,1,9,6,3,9,3,6,0.63,0.67,0.6,2.47,2,2.9,1.11,0.89,1.3,1.37,1.11,1.6,0.74,0.56,0.9,0.16,0.11,0.2,0.58,0.44,0.7,17,14,9,5,2,0,7,6,4,1,0,0,10,8,5,4,2,0,2,5,10,14,17,19,2,3,5,8,9,9,0,2,5,6,8,10,89,74,47,26,11,0,78,67,44,11,0,0,100,80,50,40,20,0,11,26,53,74,89,100,22,33,56,89,100,100,0,20,50,60,80,100,11,3,0,4,1,0,7,2,0,58,16,0,44,11,0,70,20,0,16,11,20,-1,21,22,20,58,67,50,32,33,30,16,11,20,9,5,4,47,56,40,17,8,9,89,89,90,1,1,0,5,11,0,5,0,10,47,67,30,47,33,60,3.89,3.56,4.2,3.21,3.67,2.8,84,84,74,57,42,37,37,21,74,1,1,0,1,2,2,1,6,7,1,5,1,4,1,3,2,4,5
Royal Standard de Liège,Standard Liège,2018/2019,Belgium,2,19,9,10,0,8,5,3,6,3,3,5,1,4,1.58,2,1.2,6,7,7,6,29,21,8,50,26,24,17,12,9,12,8,0,59,48,75,81,90,75,7,3,4,10,5,5,6,3,3,11,5,6,109,49,60,39,17,22,56,57,55,200,100,100,104,51,53,96,49,47,104,51,53,12,7,5,8,3,5,4,4,0,7,3,4,9,5,4,3,1,2,1.58,1.56,1.6,2.63,2.89,2.4,1.53,1.89,1.2,1.11,1,1.2,1.05,1.11,1,0.63,0.78,0.5,0.42,0.33,0.5,15,15,11,6,3,0,7,7,5,4,3,0,8,8,6,2,0,0,4,4,8,13,16,19,2,2,4,5,6,9,2,2,4,8,10,10,79,79,58,32,16,0,78,78,56,44,33,0,80,80,60,20,0,0,21,21,42,68,84,100,22,22,44,56,67,100,20,20,40,80,100,100,13,6,1,6,4,0,7,2,1,68,32,5,67,44,0,70,20,10,42,56,30,17,37,33,40,53,56,50,32,33,30,58,56,60,13,6,7,68,67,70,9,4,5,47,44,50,3,2,1,16,22,10,37,33,40,47,56,40,16,11,20,5.74,5.44,6,2.05,1.89,2.2,89,68,68,47,37,37,26,21,47,4,2,2,3,2,4,3,6,3,1,2,0,2,3,0,4,1,8
KSC Lokeren Oost-Vlaanderen,Lokeren,2018/2019,Belgium,0.8,19,10,9,0,3,3,0,5,3,2,11,4,7,0.74,1.2,0.22,16,13,16,16,18,32,-14,50,26,24,10,8,16,16,-6,-8,95,90,101,54,56,51,5,5,0,10,3,7,6,4,2,10,6,4,57,31,26,49,17,32,46,47,45,122,82,40,57,39,18,65,43,22,57,39,18,8,6,2,6,3,3,2,3,-1,5,4,1,11,5,6,3,1,2,1.37,1.7,1,2.63,2.6,2.67,0.95,1,0.89,1.68,1.6,1.78,0.74,0.9,0.56,0.42,0.6,0.22,0.32,0.3,0.33,17,15,10,5,2,1,8,7,5,4,1,1,9,8,5,1,1,0,2,4,9,14,17,18,2,3,5,6,9,9,0,1,4,8,8,9,89,79,53,26,11,5,80,70,50,40,10,10,100,89,56,11,11,0,11,21,47,74,89,95,20,30,50,60,90,90,0,11,44,89,89,100,9,4,1,6,3,0,3,1,1,47,21,5,60,30,0,33,11,11,16,30,0,5,26,50,0,53,30,78,32,40,22,53,60,44,15,8,7,79,80,78,12,5,7,63,50,78,2,1,1,11,10,11,26,40,11,58,50,67,16,10,22,3.17,3.1,3.25,2.58,1.7,3.56,83,83,83,67,50,22,22,17,63,2,4,0,1,1,2,2,2,4,3,2,0,1,0,4,3,6,13
Sporting du Pays de Charleroi,Sporting Charleroi,2018/2019,Belgium,2.6,19,10,9,0,9,7,2,3,0,3,7,3,4,1.58,2.1,1,7,3,9,7,31,25,6,56,28,28,17,14,11,14,6,0,55,53,58,68,82,58,3,2,1,14,6,8,3,2,1,9,7,2,81,40,41,30,10,20,47,46,48,183,102,81,96,53,43,87,49,38,96,53,43,13,6,7,10,4,6,3,2,1,5,3,2,11,5,6,3,2,1,1.37,1.4,1.33,2.95,2.8,3.11,1.63,1.7,1.56,1.32,1.1,1.56,1.21,1,1.44,0.68,0.6,0.78,0.53,0.4,0.67,18,16,12,6,3,1,10,8,6,3,1,0,8,8,6,3,2,1,1,3,7,13,16,18,0,2,4,7,9,10,1,1,3,6,7,8,95,84,63,32,16,5,100,80,60,30,10,0,89,89,67,33,22,11,5,16,37,68,84,95,0,20,40,70,90,100,11,11,33,67,78,89,14,8,1,7,3,0,7,5,1,74,42,5,70,30,0,78,56,11,47,70,22,11,16,20,11,74,60,89,16,20,11,47,70,22,9,6,3,47,60,33,8,5,3,42,50,33,7,2,5,37,20,56,26,30,22,58,50,67,16,20,11,4.26,4,4.56,1.58,1,2.22,68,68,47,16,11,11,5,5,89,0,3,3,4,4,4,1,2,10,2,3,1,2,5,1,1,3,7
KAS Eupen,AS Eupen,2018/2019,Belgium,1.2,19,10,9,0,7,5,2,1,0,1,11,5,6,1.16,1.5,0.78,12,10,12,12,21,36,-15,57,31,26,14,7,17,19,-3,-12,81,64,115,48,53,43,5,3,2,10,7,3,5,0,5,9,7,2,94,50,44,45,21,24,47,49,46,169,98,71,85,50,35,84,48,36,85,50,35,9,6,3,20,8,12,-11,-2,-9,5,3,2,3,2,1,11,5,6,0.95,1.1,0.78,3,3.1,2.89,1.11,1.4,0.78,1.89,1.7,2.11,1.53,1.4,1.67,0.47,0.6,0.33,1.05,0.8,1.33,18,15,12,6,4,1,10,8,7,3,3,0,8,7,5,3,1,1,1,4,7,13,15,18,0,2,3,7,7,10,1,2,4,6,8,8,95,79,63,32,21,5,100,80,70,30,30,0,89,78,56,33,11,11,5,21,37,68,79,95,0,20,30,70,70,100,11,22,44,67,89,89,16,9,4,8,4,2,8,5,2,84,47,21,80,40,20,89,56,22,37,50,22,18,26,30,22,53,70,33,26,0,56,47,70,22,7,5,2,37,50,22,12,5,7,63,50,78,3,2,1,16,20,11,26,30,22,16,20,11,58,50,67,4.95,5,4.89,2.37,2.1,2.67,89,89,63,47,47,42,32,21,84,3,0,3,3,1,2,2,1,6,6,6,3,4,1,3,3,6,4
KV Oostende,KV Oostende,2018/2019,Belgium,0.8,19,9,10,0,6,4,2,4,1,3,9,4,5,1.16,1.44,0.9,11,11,11,11,19,33,-14,52,26,26,11,8,15,18,-4,-10,90,74,113,52,54,50,2,1,1,11,6,5,7,2,5,6,3,3,62,30,32,53,27,26,43,43,43,149,74,75,78,39,39,71,35,36,78,39,39,5,3,2,12,6,6,-7,-3,-4,3,1,2,9,5,4,7,3,4,0.95,0.89,1,2.74,2.89,2.6,1,1.22,0.8,1.74,1.67,1.8,0.89,1,0.8,0.26,0.33,0.2,0.63,0.67,0.6,18,16,10,5,1,1,9,8,6,3,0,0,9,8,4,2,1,1,1,3,9,14,18,18,0,1,3,6,9,9,1,2,6,8,9,9,95,84,53,26,5,5,100,89,67,33,0,0,90,80,40,20,10,10,5,16,47,74,95,95,0,11,33,67,100,100,10,20,60,80,90,90,12,4,1,6,3,0,6,1,1,63,21,5,67,33,0,60,10,10,32,44,20,13,11,11,10,58,67,50,37,22,50,32,33,30,10,4,6,53,44,60,14,6,8,74,67,80,2,2,0,11,22,0,16,11,20,47,56,40,37,33,40,3.44,3.75,3.2,2.79,3,2.6,78,72,67,50,33,28,22,6,79,1,2,1,1,1,2,2,2,7,1,2,6,1,4,5,2,4,8
Sint-Truidense VV,Sint-Truiden,2018/2019,Belgium,2,19,9,10,0,8,5,3,7,4,3,4,0,4,1.63,2.11,1.2,5,5,6,5,31,23,8,54,24,30,16,15,8,15,8,0,55,51,60,74,101,60,4,3,1,13,6,7,4,1,3,10,6,4,66,36,30,46,19,27,48,52,45,190,108,82,90,44,46,100,64,36,90,44,46,12,4,8,11,5,6,1,-1,2,4,1,3,11,6,5,4,2,2,1.21,1,1.4,2.84,2.67,3,1.63,1.78,1.5,1.21,0.89,1.5,1.21,1,1.4,0.63,0.44,0.8,0.58,0.56,0.6,17,15,10,8,3,1,8,7,4,3,1,1,9,8,6,5,2,0,2,4,9,11,16,18,1,2,5,6,8,8,1,2,4,5,8,10,89,79,53,42,16,5,89,78,44,33,11,11,90,80,60,50,20,0,11,21,47,58,84,95,11,22,56,67,89,89,10,20,40,50,80,100,12,8,3,5,3,1,7,5,2,63,42,16,56,33,11,70,50,20,42,56,30,18,21,33,10,68,67,70,21,11,30,53,67,40,10,5,5,53,56,50,9,5,4,47,56,40,7,3,4,37,33,40,21,11,30,58,67,50,21,22,20,3.47,4,3,2.42,2.11,2.7,89,79,63,47,37,21,16,11,68,3,3,2,2,3,1,4,7,6,2,1,2,3,3,3,3,3,3
