team_name,common_name,season,country,points_per_game_last_5,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90
SSC Napoli,Napoli,2018/2019,Italy,2.6,16,8,8,0,12,6,6,2,2,0,2,0,2,2.38,2.5,2.25,2,2,2,2,33,14,19,47,23,24,19,14,4,10,15,4,44,38,51,102,180,72,7,5,2,8,3,5,2,1,1,10,5,5,117,67,50,34,10,24,57,59,54,304,172,132,114,70,44,190,102,88,114,70,44,12,6,6,7,2,5,5,4,1,7,4,3,5,2,3,4,2,2,1.63,1.75,1.5,2.94,2.88,3,2.06,2.38,1.75,0.88,0.5,1.25,1.19,1,1.38,0.75,0.75,0.75,0.44,0.25,0.63,15,13,11,5,2,1,7,6,4,3,2,1,8,7,7,2,0,0,1,3,5,11,14,15,1,2,4,5,6,7,0,1,1,6,8,8,94,81,69,31,13,6,88,75,50,38,25,13,100,88,88,25,0,0,6,19,31,69,87,94,12,25,50,62,75,87,0,12,12,75,100,100,13,6,0,6,2,0,7,4,0,81,38,0,75,25,0,88,50,0,75,75,75,30,44,63,25,50,38,63,13,13,13,63,63,63,10,6,4,63,75,50,7,4,3,44,50,38,2,0,2,13,0,25,44,50,38,31,25,38,25,25,25,7.31,8.38,6.25,2.13,1.25,3,88,81,69,56,50,38,25,19,44,7,2,0,2,2,3,4,3,10,0,4,2,1,2,3,0,2,0
Juventus FC,Juventus,2018/2019,Italy,3,16,8,8,0,15,7,8,1,1,0,0,0,0,2.88,2.75,3,1,1,1,1,33,8,25,41,20,21,16,17,4,4,12,13,44,45,42,180,180,180,9,4,5,7,4,3,0,0,0,14,7,7,112,55,57,29,13,16,58,55,61,314,148,166,115,54,61,199,94,105,115,54,61,14,8,6,5,2,3,9,6,3,8,5,3,7,3,4,1,0,1,1.94,2.25,1.63,2.56,2.5,2.63,2.06,2,2.13,0.5,0.5,0.5,1.19,1.25,1.13,0.88,1,0.75,0.31,0.25,0.38,16,14,7,3,1,0,8,7,3,2,0,0,8,7,4,1,1,0,0,2,9,13,15,16,0,1,5,6,8,8,0,1,4,7,7,8,100,88,44,19,6,0,100,88,38,25,0,0,100,88,50,13,13,0,0,12,56,81,94,100,0,12,62,75,100,100,0,12,50,87,87,100,12,6,1,6,3,1,6,3,0,75,38,6,75,38,13,75,38,0,94,88,100,0,56,50,63,44,50,38,0,0,0,88,88,88,11,6,5,69,75,63,5,2,3,31,25,38,4,2,2,25,25,25,50,63,38,44,38,50,6,0,13,7,6.88,7.13,1.81,1.63,2,94,88,69,56,50,38,25,19,50,4,3,3,4,2,3,5,4,5,1,0,1,3,0,1,1,0,1
AS Roma,Roma,2018/2019,Italy,1.6,16,8,8,0,6,4,2,6,3,3,4,1,3,1.5,1.88,1.13,7,6,10,7,29,22,7,51,34,17,21,8,13,9,8,-1,50,34,90,65,55,80,3,1,2,10,6,4,3,1,2,9,5,4,97,50,47,29,10,19,53,55,52,294,146,148,122,67,55,172,79,93,122,67,55,14,10,4,10,7,3,4,3,1,7,4,3,3,1,2,6,3,3,1.5,1.63,1.38,3.19,4.25,2.13,1.81,2.63,1,1.38,1.63,1.13,1.5,2.13,0.88,0.88,1.25,0.5,0.63,0.88,0.38,16,14,9,8,3,1,8,8,7,7,3,1,8,6,2,1,0,0,0,2,7,8,13,15,0,0,1,1,5,7,0,2,6,7,8,8,100,88,56,50,19,6,100,100,88,88,38,13,100,75,25,13,0,0,0,12,44,50,81,94,0,0,12,12,62,87,0,25,75,87,100,100,14,5,3,8,4,3,6,1,0,88,31,19,100,50,38,75,13,0,38,50,25,14,19,13,25,63,75,50,19,13,25,56,63,50,9,4,5,56,50,63,7,2,5,44,25,63,2,2,0,13,25,0,44,50,38,19,13,25,38,38,38,6.06,6.25,5.88,1.81,1.25,2.38,100,88,88,81,75,44,31,31,50,3,3,2,3,3,5,0,3,7,0,2,1,7,0,4,2,0,6
Cagliari Calcio,Cagliari,2018/2019,Italy,0.8,16,8,8,0,3,2,1,8,5,3,5,1,4,1.06,1.38,0.75,13,14,14,13,15,20,-5,35,16,19,9,6,7,13,2,-7,96,80,120,72,102,55,4,3,1,8,4,4,6,3,3,5,4,1,84,41,43,45,19,26,49,47,51,199,104,95,70,35,35,129,69,60,70,35,35,6,4,2,9,2,7,-3,2,-5,5,4,1,4,3,1,7,1,6,1.19,1.88,0.5,2.19,2,2.38,0.94,1.13,0.75,1.25,0.88,1.63,0.94,0.75,1.13,0.38,0.5,0.25,0.56,0.25,0.88,14,12,5,4,0,0,6,5,3,2,0,0,8,7,2,2,0,0,2,4,11,12,16,16,2,3,5,6,8,8,0,1,6,6,8,8,88,75,31,25,0,0,75,63,38,25,0,0,100,88,25,25,0,0,12,25,69,75,100,100,25,37,62,75,100,100,0,12,75,75,100,100,12,2,1,5,1,0,7,1,1,75,13,6,63,13,0,88,13,13,19,25,13,25,25,38,13,50,50,50,38,38,38,31,50,13,9,7,2,56,88,25,10,4,6,63,50,75,1,0,1,6,0,13,31,50,13,25,38,13,44,13,75,5.25,5.13,5.38,2.81,2.38,3.25,94,81,75,56,44,38,19,6,38,2,1,1,1,1,1,2,4,2,2,5,0,1,2,4,0,2,4
Torino FC,Torino,2018/2019,Italy,1,16,8,8,0,5,3,2,7,1,6,4,4,0,1.38,1.25,1.5,11,15,4,11,19,17,2,36,20,16,9,10,11,6,-2,4,76,80,72,85,65,120,5,1,4,9,5,4,5,2,3,5,2,3,77,44,33,31,16,15,52,55,49,239,123,116,93,48,45,146,75,71,93,48,45,8,5,3,9,6,3,-1,-1,0,4,2,2,8,4,4,4,2,2,1.25,1.25,1.25,2.25,2.5,2,1.19,1.13,1.25,1.06,1.38,0.75,1.06,1.38,0.75,0.5,0.63,0.38,0.56,0.75,0.38,13,9,7,5,2,0,8,5,4,2,1,0,5,4,3,3,1,0,3,7,9,11,14,16,0,3,4,6,7,8,3,4,5,5,7,8,81,56,44,31,13,0,100,63,50,25,13,0,63,50,38,38,13,0,19,44,56,69,87,100,0,37,50,75,87,100,37,50,62,62,87,100,9,6,2,5,4,2,4,2,0,56,38,13,63,50,25,50,25,0,31,38,25,-18,31,13,50,56,63,50,31,25,38,31,25,38,10,4,6,63,50,75,10,4,6,63,50,75,3,3,0,19,38,0,25,25,25,50,50,50,25,25,25,4.81,5.5,4.13,1.94,2,1.88,88,75,75,63,44,31,19,19,44,0,4,0,1,5,5,1,2,1,4,1,2,2,0,3,3,1,1
Empoli FC,Empoli,2018/2019,Italy,2,16,8,8,0,4,4,0,4,1,3,8,3,5,1,1.63,0.38,14,11,20,14,20,29,-9,49,21,28,11,9,10,19,1,-10,72,65,80,50,72,38,2,1,1,11,5,6,4,2,2,6,4,2,93,38,55,33,15,18,51,47,56,249,110,139,87,41,46,162,69,93,87,41,46,10,5,5,14,5,9,-4,0,-4,4,3,1,6,2,4,6,3,3,1.13,1.38,0.88,3.06,2.63,3.5,1.25,1.38,1.13,1.81,1.25,2.38,1.5,1.25,1.75,0.63,0.63,0.63,0.88,0.63,1.13,15,13,10,6,3,2,8,7,4,1,1,0,7,6,6,5,2,2,1,3,6,10,13,14,0,1,4,7,7,8,1,2,2,3,6,6,94,81,63,38,19,13,100,88,50,13,13,0,88,75,75,63,25,25,6,19,37,62,81,87,0,12,50,87,87,100,12,25,25,37,75,75,14,8,2,7,2,1,7,6,1,88,50,13,88,25,13,88,75,13,25,50,0,21,13,13,13,69,63,75,25,25,25,38,50,25,5,4,1,31,50,13,7,3,4,44,38,50,6,2,4,38,25,50,25,38,13,38,25,50,38,38,38,5.81,4.75,6.88,2.06,1.88,2.25,94,81,81,69,56,50,38,25,63,2,1,3,1,4,3,0,4,2,5,2,0,6,2,4,4,1,5
Genoa CFC,Genoa,2018/2019,Italy,0.4,16,8,8,0,4,3,1,4,3,1,8,2,6,1,1.5,0.5,16,12,17,16,22,33,-11,55,21,34,11,11,10,23,1,-12,65,65,65,44,72,31,2,2,0,13,6,7,1,0,1,10,6,4,72,38,34,38,21,17,45,46,44,221,123,98,86,48,38,135,75,60,86,48,38,14,8,6,20,5,15,-6,3,-9,5,4,1,4,3,1,7,1,6,1.19,1.88,0.5,3.44,2.63,4.25,1.38,1.38,1.38,2.06,1.25,2.88,2.13,1.63,2.63,0.88,1,0.75,1.25,0.63,1.88,16,15,11,6,4,1,8,7,4,2,0,0,8,8,7,4,4,1,0,1,5,10,12,15,0,1,4,6,8,8,0,0,1,4,4,7,100,94,69,38,25,6,100,88,50,25,0,0,100,100,88,50,50,13,0,6,31,62,75,94,0,12,50,75,100,100,0,0,12,50,50,87,15,10,5,7,4,1,8,6,4,94,63,31,88,50,13,100,75,50,25,38,13,20,13,25,0,81,75,88,6,0,13,63,75,50,5,5,0,31,63,0,5,1,4,31,13,50,7,3,4,44,38,50,31,50,13,25,38,13,44,13,75,4.5,4.75,4.25,2.38,2.63,2.13,100,88,75,56,38,31,19,13,100,2,4,1,6,2,2,4,0,1,3,5,3,3,7,2,4,0,6
AC Milan,Milan,2018/2019,Italy,1.2,16,8,8,0,7,5,2,6,2,4,3,1,2,1.69,2.13,1.25,4,5,8,4,24,18,6,42,24,18,14,10,10,8,4,2,60,51,72,80,72,90,3,1,2,11,6,5,4,2,2,10,5,5,97,57,40,35,15,20,52,55,50,288,155,133,107,53,54,181,102,79,107,53,54,10,7,3,4,3,1,6,4,2,7,4,3,7,3,4,2,1,1,1.75,1.88,1.63,2.63,3,2.25,1.5,1.75,1.25,1.13,1.25,1,0.88,1.25,0.5,0.63,0.88,0.38,0.25,0.38,0.13,14,12,8,5,3,0,7,7,6,3,1,0,7,5,2,2,2,0,2,4,8,11,13,16,1,1,2,5,7,8,1,3,6,6,6,8,88,75,50,31,19,0,88,88,75,38,13,0,88,63,25,25,25,0,12,25,50,69,81,100,12,12,25,62,87,100,12,37,75,75,75,100,10,2,1,6,2,1,4,0,0,63,13,6,75,25,13,50,0,0,44,63,25,3,19,13,25,69,75,63,25,25,25,63,63,63,13,6,7,81,75,88,8,3,5,50,38,63,1,1,0,6,13,0,44,50,38,44,38,50,13,13,13,6.06,7.13,5,2.19,1.88,2.5,81,69,69,63,63,44,44,25,63,3,2,1,4,2,4,2,2,4,2,0,1,1,1,4,3,2,4
SS Lazio,Lazio,2018/2019,Italy,0.8,16,8,8,0,7,4,3,4,2,2,5,2,3,1.56,1.75,1.38,5,8,7,5,22,19,3,41,24,17,14,8,10,9,4,-1,65,51,90,76,72,80,4,2,2,9,5,4,3,1,2,9,5,4,104,55,49,33,14,19,51,51,52,290,158,132,97,58,39,193,100,93,97,58,39,7,6,1,10,5,5,-3,1,-4,3,3,0,7,3,4,6,2,4,1,1.5,0.5,2.56,3,2.13,1.38,1.75,1,1.19,1.25,1.13,1.06,1.38,0.75,0.44,0.75,0.13,0.63,0.63,0.63,16,12,7,4,2,0,8,6,5,3,2,0,8,6,2,1,0,0,0,4,9,12,14,16,0,2,3,5,6,8,0,2,6,7,8,8,100,75,44,25,13,0,100,75,63,38,25,0,100,75,25,13,0,0,0,25,56,75,87,100,0,25,37,62,75,100,0,25,75,87,100,100,11,5,1,6,4,1,5,1,0,69,31,6,75,50,13,63,13,0,44,50,38,11,25,25,25,56,63,50,19,13,25,56,63,50,7,4,3,44,50,38,11,4,7,69,50,88,3,2,1,19,25,13,19,38,0,44,38,50,38,25,50,6.5,6.88,6.13,2.06,1.75,2.38,100,100,81,81,63,44,38,25,50,2,0,3,2,2,2,5,1,5,1,1,5,0,4,1,1,4,2
Atalanta Bergamasca Calcio,Atalanta,2018/2019,Italy,1.8,16,8,8,0,7,4,3,3,1,2,6,3,3,1.5,1.63,1.38,6,9,5,6,30,20,10,50,18,32,13,17,5,15,8,2,48,55,42,72,143,48,4,4,0,8,2,6,5,3,2,7,4,3,103,63,40,33,12,21,55,56,54,285,137,148,96,52,44,189,85,104,96,52,44,11,3,8,7,2,5,4,1,3,6,3,3,6,3,3,4,2,2,1.5,1.5,1.5,3.13,2.25,4,1.88,1.63,2.13,1.25,0.63,1.88,1.13,0.63,1.63,0.69,0.38,1,0.44,0.25,0.63,15,12,10,7,4,2,7,4,4,2,1,0,8,8,6,5,3,2,1,4,6,9,12,14,1,4,4,6,7,8,0,0,2,3,5,6,94,75,63,44,25,13,88,50,50,25,13,0,100,100,75,63,38,25,6,25,37,56,75,87,12,50,50,75,87,100,0,0,25,37,62,75,11,4,2,5,0,0,6,4,2,69,25,13,63,0,0,75,50,25,44,50,38,19,25,50,0,50,25,75,31,38,25,44,50,38,9,6,3,56,75,38,9,5,4,56,63,50,3,0,3,19,0,38,38,38,38,38,38,38,25,25,25,6.44,7.88,5,2.06,1.5,2.63,88,81,69,56,50,44,31,25,75,3,2,3,3,2,5,4,4,4,4,1,0,0,4,2,2,2,5
UC Sampdoria,Sampdoria,2018/2019,Italy,1.6,16,8,8,0,6,4,2,5,2,3,5,2,3,1.44,1.75,1.13,9,7,9,9,25,19,6,44,21,23,13,12,8,11,5,1,58,55,60,76,90,65,6,3,3,8,4,4,4,2,2,7,3,4,67,30,37,38,18,20,51,53,49,182,97,85,80,47,33,102,50,52,80,47,33,11,6,5,10,5,5,1,1,0,4,2,2,8,4,4,4,2,2,1.25,1.25,1.25,2.75,2.63,2.88,1.56,1.63,1.5,1.19,1,1.38,1.31,1.38,1.25,0.69,0.75,0.63,0.63,0.63,0.63,14,11,8,6,5,0,7,6,4,2,2,0,7,5,4,4,3,0,2,5,8,10,11,16,1,2,4,6,6,8,1,3,4,4,5,8,88,69,50,38,31,0,88,75,50,25,25,0,88,63,50,50,38,0,12,31,50,62,69,100,12,25,50,75,75,100,12,37,50,50,62,100,11,6,2,5,4,1,6,2,1,69,38,13,63,50,13,75,25,13,38,50,25,10,38,38,38,50,50,50,25,25,25,44,38,50,8,4,4,50,50,50,9,5,4,56,63,50,4,2,2,25,25,25,25,25,25,50,50,50,25,25,25,4.19,3.75,4.63,2.38,2.25,2.5,81,75,69,63,50,44,38,25,63,3,1,4,3,1,3,4,2,4,1,6,1,1,1,2,1,3,3
Udinese Calcio,Udinese,2018/2019,Italy,0.8,16,8,8,0,3,2,1,4,1,3,9,5,4,0.81,0.88,0.75,17,18,13,17,13,22,-9,35,17,18,5,8,12,10,-7,-2,111,143,90,65,60,72,4,2,2,7,3,4,6,3,3,5,3,2,69,30,39,34,17,17,45,43,47,204,95,109,73,37,36,131,58,73,73,37,36,4,3,1,8,4,4,-4,-1,-3,2,2,0,9,4,5,5,2,3,0.94,1.25,0.63,2.19,2.13,2.25,0.81,0.63,1,1.38,1.5,1.25,0.75,0.88,0.63,0.25,0.38,0.13,0.5,0.5,0.5,15,10,7,3,0,0,8,5,3,1,0,0,7,5,4,2,0,0,1,6,9,13,16,16,0,3,5,7,8,8,1,3,4,6,8,8,94,63,44,19,0,0,100,63,38,13,0,0,88,63,50,25,0,0,6,37,56,81,100,100,0,37,62,87,100,100,12,37,50,75,100,100,9,3,0,5,2,0,4,1,0,56,19,0,63,25,0,50,13,0,19,25,13,-16,25,25,25,44,38,50,38,38,38,31,38,25,9,5,4,56,63,50,12,5,7,75,63,88,2,1,1,13,13,13,13,25,0,56,50,63,31,25,38,4.31,3.75,4.88,2.13,2.13,2.13,100,94,88,75,50,44,25,25,69,1,1,1,1,0,1,4,2,2,1,1,0,3,4,2,4,3,4
Bologna FC 1909,Bologna,2018/2019,Italy,0.6,16,8,8,0,2,2,0,6,3,3,8,3,5,0.75,1.13,0.38,18,16,19,18,13,24,-11,37,16,21,7,6,9,15,-2,-9,111,102,120,60,80,48,4,3,1,7,3,4,8,4,4,4,2,2,59,24,35,41,16,25,43,41,46,205,92,113,75,37,38,130,55,75,75,37,38,7,3,4,12,2,10,-5,1,-6,2,2,0,9,5,4,5,1,4,0.94,1.38,0.5,2.31,2,2.63,0.81,0.88,0.75,1.5,1.13,1.88,1.19,0.63,1.75,0.44,0.38,0.5,0.75,0.25,1.25,13,11,8,4,1,0,6,5,4,1,0,0,7,6,4,3,1,0,3,5,8,12,15,16,2,3,4,7,8,8,1,2,4,5,7,8,81,69,50,25,6,0,75,63,50,13,0,0,88,75,50,38,13,0,19,31,50,75,94,100,25,37,50,87,100,100,12,25,50,62,87,100,10,6,2,4,1,0,6,5,2,63,38,13,50,13,0,75,63,25,13,25,0,17,25,38,13,44,38,50,50,50,50,25,25,25,8,6,2,50,75,25,9,5,4,56,63,50,5,1,4,31,13,50,13,25,0,56,63,50,31,13,50,3.69,3,4.38,2.56,2,3.13,75,50,38,38,31,19,13,6,50,3,1,0,1,2,4,0,1,1,2,5,2,2,1,2,5,2,3
AC Chievo Verona,Chievo,2018/2019,Italy,1,16,8,8,0,0,0,0,7,3,4,9,5,4,0.44,0.38,0.5,20,20,16,20,12,32,-20,44,22,22,6,6,16,16,-10,-10,120,120,120,45,45,45,3,1,2,9,4,5,7,4,3,2,1,1,53,27,26,45,21,24,42,43,42,176,75,101,57,26,31,119,49,70,57,26,31,4,4,0,13,5,8,-9,-1,-8,2,2,0,7,4,3,7,2,5,0.81,1.25,0.38,2.75,2.75,2.75,0.75,0.75,0.75,2,2,2,1.06,1.13,1,0.25,0.5,0,0.81,0.63,1,13,12,7,6,3,2,7,6,3,3,2,1,6,6,4,3,1,1,3,4,9,10,13,14,1,2,5,5,6,7,2,2,4,5,7,7,81,75,44,38,19,13,88,75,38,38,25,13,75,75,50,38,13,13,19,25,56,62,81,87,12,25,62,62,75,87,25,25,50,62,87,87,10,6,1,5,3,1,5,3,0,63,38,6,63,38,13,63,38,0,0,0,0,0,19,13,25,56,50,63,44,50,38,13,13,13,7,4,3,44,50,38,13,5,8,81,63,100,2,2,0,13,25,0,13,25,0,44,50,38,44,25,63,3.31,3.38,3.25,2.81,2.63,3,81,81,75,75,38,13,13,13,63,0,1,1,1,2,2,1,2,2,4,1,4,1,5,6,1,4,6
US Sassuolo Calcio,Sassuolo,2018/2019,Italy,1.2,16,8,8,0,6,3,3,6,4,2,4,1,3,1.5,1.63,1.38,8,10,6,8,26,22,4,48,30,18,16,10,14,8,2,2,55,45,72,65,51,90,6,2,4,9,6,3,3,1,2,5,2,3,80,50,30,46,23,23,54,54,54,249,132,117,92,51,41,157,81,76,92,51,41,11,8,3,9,5,4,2,3,-1,4,2,2,8,5,3,4,1,3,1.25,1.38,1.13,3,3.75,2.25,1.63,2,1.25,1.38,1.75,1,1.25,1.63,0.88,0.69,1,0.38,0.56,0.63,0.5,14,13,8,6,3,2,7,6,5,5,3,2,7,7,3,1,0,0,2,3,8,10,13,14,1,2,3,3,5,6,1,1,5,7,8,8,88,81,50,38,19,13,88,75,63,63,38,25,88,88,38,13,0,0,12,19,50,62,81,87,12,25,37,37,62,75,12,12,62,87,100,100,11,5,2,6,4,1,5,1,1,69,31,13,75,50,13,63,13,13,38,38,38,-2,38,25,50,56,75,38,19,13,25,31,25,38,8,3,5,50,38,63,8,3,5,50,38,63,5,4,1,31,50,13,25,25,25,50,63,38,25,13,38,5,6.25,3.75,2.88,2.88,2.88,88,81,63,50,50,44,38,31,81,0,3,1,3,4,4,4,1,6,6,0,2,1,2,2,3,2,4
